asin,sku,price,quantity,currency,sale-price,sale-from-date,sale-through-date,restock-date,minimum-seller-allowed-price,maximum-seller-allowed-price,fulfillment-channel,handling-time
0982262817,SKU_0982262817_1751686699,5460,2,JPY,,,,,5360,5560,,10
1922611247,SKU_1922611247_1751686706,2430,2,JPY,,,,,2330,2530,,10
173532812X,SKU_173532812X_1751686712,10740,2,JPY,,,,,10640,10840,,10
0807003328,SKU_0807003328_1751686718,2470,2,JPY,,,,,2370,2570,,10
0062430041,SKU_0062430041_1751686724,1580,2,JPY,,,,,1480,1680,,10
1781315183,SKU_1781315183_1751686733,2120,2,JPY,,,,,2020,2220,,10
0062936336,SKU_0062936336_1751686739,2100,2,JPY,,,,,2000,2200,,10
1684129494,SKU_1684129494_1751686743,3520,2,JPY,,,,,3420,3620,,10
1592531830,SKU_1592531830_1751686759,5650,2,JPY,,,,,5550,5750,,10
1592536409,SKU_1592536409_1751686762,5150,2,JPY,,,,,5050,5250,,10
1982146737,SKU_1982146737_1751686770,2560,2,JPY,,,,,2460,2660,,10
0571339107,SKU_0571339107_1751686777,1770,2,JPY,,,,,1670,1870,,10
1400209560,SKU_1400209560_1751686787,3220,2,JPY,,,,,3120,3320,,10
1492693537,SKU_1492693537_1751686790,2570,2,JPY,,,,,2470,2670,,10
0566079070,SKU_0566079070_1751686793,12530,2,JPY,,,,,12430,12630,,10
1784412090,SKU_1784412090_1751686796,9050,2,JPY,,,,,8950,9150,,10
184976333X,SKU_184976333X_1751686812,2270,2,JPY,,,,,2170,2370,,10
1593576013,SKU_1593576013_1751686828,4870,2,JPY,,,,,4770,4970,,10
1789503426,SKU_1789503426_1751686831,2920,2,JPY,,,,,2820,3020,,10
0600630668,SKU_0600630668_1751686840,3200,2,JPY,,,,,3100,3300,,10
1408194988,SKU_1408194988_1751686843,1920,2,JPY,,,,,1820,2020,,10
1786273888,SKU_1786273888_1751686846,2540,2,JPY,,,,,2440,2640,,10
178627390X,SKU_178627390X_1751686849,2800,2,JPY,,,,,2700,2900,,10
1786275686,SKU_1786275686_1751686852,2250,2,JPY,,,,,2150,2350,,10
1856697347,SKU_1856697347_1751686858,8910,2,JPY,,,,,8810,9010,,10
162937086X,SKU_162937086X_1751686864,2720,2,JPY,,,,,2620,2820,,10
1629375667,SKU_1629375667_1751686867,2790,2,JPY,,,,,2690,2890,,10
1592333958,SKU_1592333958_1751686873,5110,2,JPY,,,,,5010,5210,,10
078583592X,SKU_078583592X_1751686876,3610,2,JPY,,,,,3510,3710,,10
3791382128,SKU_3791382128_1751686882,5390,2,JPY,,,,,5290,5490,,10
0848746767,SKU_0848746767_1751686888,4020,2,JPY,,,,,3920,4120,,10
1770857524,SKU_1770857524_1751686895,3640,2,JPY,,,,,3540,3740,,10
1780972547,SKU_1780972547_1751686907,2920,2,JPY,,,,,2820,3020,,10
1847321461,SKU_1847321461_1751686910,3160,2,JPY,,,,,3060,3260,,10
1591935571,SKU_1591935571_1751686913,2370,2,JPY,,,,,2270,2470,,10
1641702222,SKU_1641702222_1751686916,1690,2,JPY,,,,,1590,1790,,10
1641702915,SKU_1641702915_1751686920,1830,2,JPY,,,,,1730,1930,,10
0814410588,SKU_0814410588_1751686935,8750,2,JPY,,,,,8650,8850,,10
1592338550,SKU_1592338550_1751686938,3510,2,JPY,,,,,3410,3610,,10
0553386263,SKU_0553386263_1751686944,2330,2,JPY,,,,,2230,2430,,10
1561639443,SKU_1561639443_1751686947,2760,2,JPY,,,,,2660,2860,,10
